iter	RMSE
0	17.13102636
1	15.67570021
2	14.39509331
3	13.24897544
4	12.25081399
5	11.3295826
6	10.5287502
7	9.831491578
8	9.219392207
9	8.691151245
10	8.235938986
11	7.836017143
12	7.459219007
13	7.16270553
14	6.890233745
15	6.665518129
16	6.441601059
17	6.26093462
18	6.098943635
19	5.939753289
20	5.783265267
21	5.678043103
22	5.590360295
23	5.497365357
24	5.419078267
25	5.35848152
26	5.266468498
27	5.21169845
28	5.147644426
29	5.103358681
30	5.060500184
31	5.001503159
32	4.969712985
33	4.928198636
34	4.888498228
35	4.85157503
36	4.80979996
37	4.782157012
38	4.747755566
39	4.71234762
40	4.687031037
41	4.653512319
42	4.624765335
43	4.600371784
44	4.569123462
45	4.547979485
46	4.529019458
47	4.510737931
48	4.495359469
49	4.480743018
50	4.467006685
51	4.441122349
52	4.425047901
53	4.4116876
54	4.398245994
55	4.386923312
56	4.373816498
57	4.36261958
58	4.344335078
59	4.338958379
60	4.327485571
61	4.317993585
62	4.311635466
63	4.298149081
64	4.286376338
65	4.27721013
66	4.266470105
67	4.262052815
68	4.253286468
69	4.244527335
70	4.239940255
71	4.234367545
72	4.227690564
73	4.223520989
74	4.216912018
75	4.213523114
76	4.207433234
77	4.20039827
78	4.196797764
79	4.187175799
80	4.180784665
81	4.174867672
82	4.170331143
83	4.165441776
84	4.160009495
85	4.152862827
86	4.147827842
87	4.142253937
88	4.139710181
89	4.133569239
90	4.129415144
91	4.123618229
92	4.120177792
93	4.116843809
94	4.113247112
95	4.111653206
96	4.1050806
97	4.101317377
98	4.097643308
99	4.092725991
100	4.088438842
101	4.086656735
102	4.082519212
103	4.0785681
104	4.076574301
105	4.072213536
106	4.065697408
107	4.06291537
108	4.059244288
109	4.053259397
110	4.050816058
111	4.048292148
112	4.045606927
113	4.043012983
114	4.038882238
115	4.035853579
116	4.021397452
117	4.019029605
118	4.017063097
119	4.015337406
120	4.013153432
121	4.010482123
122	4.008273751
123	4.004769861
124	4.001740637
125	3.997988655
126	3.994627609
127	3.98483543
128	3.98358925
129	3.97392517
130	3.972018619
131	3.969323073
132	3.966125001
133	3.957548179
134	3.955123847
135	3.950813242
136	3.94828551
137	3.946140876
138	3.942252234
139	3.938049079
140	3.93618294
141	3.934122479
142	3.931529449
143	3.929678496
144	3.925639986
145	3.922459817
146	3.92037701
147	3.918815338
148	3.915198085
149	3.9135716
150	3.910865804
151	3.906320526
152	3.903535013
153	3.90071469
154	3.898441001
155	3.894950304
156	3.892649672
157	3.891345998
158	3.890135308
159	3.889411918
160	3.886652577
161	3.885486812
162	3.883412327
163	3.881531058
164	3.878111717
165	3.874334563
166	3.869641402
167	3.868134452
168	3.866469259
169	3.864395343
170	3.863804332
171	3.862581643
172	3.860925623
173	3.859932409
174	3.856090502
175	3.854439209
176	3.853301701
177	3.851790436
178	3.845427831
179	3.843886462
180	3.843253595
181	3.841989126
182	3.841018555
183	3.839416477
184	3.835475995
185	3.832221994
186	3.831706125
187	3.829612009
188	3.828326617
189	3.823479687
190	3.821464406
191	3.820661872
192	3.81777241
193	3.815491879
194	3.814943081
195	3.814063676
196	3.812518506
197	3.811357354
198	3.809606306
199	3.808750456
200	3.805446548
201	3.804755704
202	3.803010015
203	3.802031202
204	3.801065238
205	3.800167706
206	3.799402291
207	3.798642772
208	3.796897587
209	3.79449857
210	3.792782191
211	3.79137962
212	3.789426052
213	3.785893493
214	3.784722054
215	3.783693085
216	3.782106025
217	3.779451946
218	3.777957193
219	3.77635364
220	3.774911845
221	3.772711278
222	3.771336032
223	3.770845129
224	3.769487865
225	3.768069244
226	3.767409799
227	3.766426309
228	3.765450406
229	3.76438538
230	3.763851109
231	3.762503427
232	3.761949563
233	3.760435114
234	3.759226857
235	3.758713112
236	3.757936054
237	3.757688194
238	3.756842557
239	3.755572616
240	3.755247503
241	3.753789545
242	3.751482762
243	3.750282903
244	3.748978577
245	3.747876703
246	3.745689487
247	3.744639151
248	3.744001309
249	3.743216489
250	3.741343338
251	3.740299237
252	3.739424356
253	3.738629227
254	3.737553018
255	3.736729174
256	3.735702887
257	3.734938067
258	3.733741656
259	3.732751232
260	3.73100941
261	3.730606613
262	3.729516033
263	3.728628427
264	3.72737473
265	3.72567716
266	3.724433869
267	3.722991754
268	3.719672999
269	3.718969586
270	3.717971361
271	3.717657439
272	3.716859709
273	3.716484371
274	3.715118971
275	3.714803658
276	3.714096591
277	3.711680257
278	3.711190868
279	3.710901827
280	3.709923301
281	3.709275407
282	3.708370471
283	3.707561784
284	3.707122497
285	3.706885183
286	3.705766835
287	3.704761615
288	3.704027694
289	3.703353519
290	3.702444413
291	3.700566744
292	3.700270062
293	3.70002551
294	3.698013364
295	3.697088914
296	3.69642537
297	3.695661317
298	3.695461735
299	3.694594721
300	3.693624176
301	3.692992389
302	3.692305051
303	3.691713411
304	3.690849198
305	3.688623541
306	3.687560592
307	3.685755674
308	3.684824975
309	3.684594806
310	3.683123133
311	3.682404062
312	3.681712444
313	3.681142248
314	3.6803467
315	3.679910903
316	3.67936183
317	3.678287532
318	3.676411385
319	3.675686465
320	3.675510875
321	3.674929664
322	3.674057278
323	3.673099125
324	3.672508388
325	3.671819145
326	3.670641637
327	3.669879631
328	3.669699332
329	3.668648438
330	3.668095771
331	3.667526376
332	3.666687345
333	3.665584649
334	3.664573077
335	3.664071174
336	3.663068486
337	3.662266709
338	3.661643688
339	3.660330078
340	3.659447052
341	3.658838976
342	3.658105104
343	3.657720414
344	3.656864162
345	3.656040757
346	3.655529352
347	3.654922198
348	3.653437452
349	3.652921392
350	3.652149197
351	3.651532715
352	3.650326018
353	3.649807287
354	3.649311579
355	3.648697967
356	3.647728859
357	3.647035105
358	3.645972556
359	3.644994444
360	3.644580945
361	3.643779488
362	3.643306765
363	3.642923549
364	3.642330502
365	3.641948445
366	3.641233816
367	3.640752892
368	3.640376366
369	3.639495682
370	3.638803016
371	3.638353647
372	3.637546125
373	3.636922785
374	3.636466898
375	3.635852559
376	3.634767012
377	3.634243272
378	3.633581143
379	3.632940216
380	3.63255211
381	3.632024656
382	3.63156622
383	3.63037207
384	3.630203904
385	3.630070369
386	3.629158068
387	3.628893739
388	3.628739713
389	3.628257201
390	3.627876792
391	3.627260664
392	3.626783711
393	3.62642231
394	3.625776375
395	3.625460188
396	3.624945226
397	3.62443148
398	3.623679603
399	3.623245424
400	3.622717059
401	3.621963674
402	3.621684269
403	3.621194551
404	3.620485282
405	3.619350318
406	3.618721553
407	3.618229155
408	3.61773862
409	3.617183296
410	3.6164162
411	3.615992552
412	3.61543131
413	3.615025623
414	3.614027491
415	3.613892168
416	3.613719029
417	3.613577155
418	3.613267211
419	3.613024397
420	3.612860438
421	3.612356261
422	3.612206635
423	3.611774178
424	3.611605754
425	3.611261626
426	3.610734606
427	3.609843682
428	3.609704684
429	3.609073095
430	3.608899009
431	3.608232811
432	3.607626615
433	3.607285372
434	3.606662715
435	3.606285832
436	3.605810746
437	3.605422089
438	3.605284734
439	3.604561017
440	3.604151626
441	3.603549795
442	3.603197947
443	3.60269164
444	3.602200101
445	3.599707578
446	3.599235334
447	3.598783235
448	3.598335346
449	3.598000255
450	3.597694187
451	3.597169255
452	3.596575732
453	3.596351889
454	3.595977136
455	3.595610477
456	3.59498321
457	3.594694856
458	3.593939468
459	3.593421847
460	3.59303669
461	3.592565716
462	3.592222116
463	3.591385934
464	3.590765125
465	3.590115783
466	3.589747397
467	3.589616665
468	3.589355711
469	3.589068705
470	3.586795483
471	3.586409332
472	3.585967156
473	3.585574828
474	3.585174843
475	3.584830841
476	3.584381627
477	3.584134604
478	3.583688857
479	3.582970231
480	3.582674826
481	3.582287122
482	3.582053375
483	3.581741917
484	3.581177057
485	3.580882942
486	3.58036697
487	3.5801197
488	3.579651676
489	3.579154213
490	3.578783913
491	3.578514551
492	3.57803454
493	3.577852492
494	3.577316174
495	3.577040686
496	3.576849757
497	3.576593356
498	3.576290243
499	3.576001384
