iter	Passed	Remaining
0	26	13173
1	51	12787
2	74	12420
3	98	12238
4	123	12223
5	149	12300
6	173	12234
7	201	12361
8	225	12313
9	252	12370
10	279	12405
11	303	12331
12	326	12218
13	352	12222
14	375	12144
15	400	12128
16	425	12079
17	448	11998
18	472	11965
19	495	11889
20	520	11878
21	546	11865
22	571	11851
23	594	11782
24	617	11730
25	640	11669
26	664	11637
27	688	11604
28	713	11585
29	735	11528
30	757	11459
31	783	11456
32	806	11409
33	829	11373
34	854	11356
35	877	11315
36	902	11290
37	925	11256
38	949	11221
39	972	11180
40	995	11142
41	1019	11118
42	1044	11102
43	1071	11104
44	1094	11064
45	1120	11054
46	1141	11003
47	1165	10977
48	1189	10948
49	1215	10938
50	1240	10920
51	1262	10875
52	1285	10840
53	1307	10801
54	1333	10790
55	1358	10767
56	1380	10728
57	1403	10698
58	1426	10661
59	1447	10618
60	1473	10604
61	1495	10563
62	1517	10524
63	1540	10494
64	1563	10460
65	1587	10441
66	1611	10417
67	1633	10376
68	1655	10341
69	1680	10324
70	1703	10292
71	1729	10283
72	1754	10261
73	1775	10223
74	1801	10207
75	1823	10174
76	1846	10144
77	1870	10119
78	1893	10091
79	1916	10059
80	1938	10029
81	1965	10016
82	1988	9992
83	2011	9961
84	2033	9926
85	2055	9893
86	2078	9868
87	2102	9843
88	2125	9816
89	2149	9791
90	2172	9762
91	2195	9734
92	2219	9714
93	2243	9691
94	2266	9662
95	2289	9634
96	2312	9605
97	2338	9594
98	2362	9570
99	2386	9547
100	2411	9527
101	2435	9501
102	2457	9473
103	2480	9445
104	2504	9421
105	2528	9399
106	2552	9374
107	2573	9341
108	2597	9319
109	2621	9295
110	2644	9266
111	2666	9238
112	2689	9211
113	2714	9192
114	2738	9168
115	2762	9143
116	2784	9116
117	2812	9104
118	2834	9075
119	2857	9049
120	2880	9023
121	2903	8996
122	2927	8973
123	2950	8946
124	2973	8921
125	2996	8895
126	3022	8876
127	3043	8845
128	3065	8817
129	3087	8787
130	3113	8768
131	3137	8746
132	3161	8724
133	3184	8696
134	3203	8662
135	3226	8636
136	3254	8622
137	3277	8597
138	3300	8571
139	3322	8544
140	3346	8520
141	3368	8491
142	3390	8465
143	3415	8444
144	3438	8419
145	3461	8392
146	3485	8369
147	3511	8350
148	3534	8326
149	3559	8304
150	3581	8277
151	3606	8256
152	3629	8231
153	3651	8204
154	3676	8183
155	3698	8154
156	3721	8129
157	3744	8104
158	3766	8077
159	3789	8052
160	3811	8025
161	3835	8002
162	3857	7976
163	3880	7950
164	3902	7923
165	3927	7901
166	3950	7876
167	3972	7849
168	3994	7822
169	4017	7799
170	4040	7774
171	4064	7750
172	4088	7727
173	4111	7702
174	4134	7677
175	4158	7655
176	4181	7630
177	4207	7611
178	4230	7586
179	4254	7563
180	4285	7553
181	4324	7556
182	4351	7538
183	4374	7512
184	4396	7485
185	4418	7458
186	4443	7436
187	4467	7413
188	4490	7389
189	4511	7360
190	4535	7337
191	4561	7316
192	4584	7292
193	4606	7266
194	4629	7241
195	4653	7216
196	4675	7191
197	4699	7168
198	4723	7144
199	4745	7118
200	4768	7093
201	4791	7068
202	4815	7044
203	4838	7020
204	4861	6996
205	4885	6972
206	4909	6949
207	4930	6922
208	4954	6898
209	4979	6875
210	5002	6852
211	5024	6826
212	5047	6801
213	5070	6776
214	5096	6755
215	5122	6735
216	5146	6711
217	5171	6689
218	5195	6666
219	5219	6643
220	5245	6621
221	5267	6596
222	5291	6572
223	5313	6547
224	5337	6523
225	5360	6498
226	5382	6473
227	5405	6448
228	5428	6423
229	5451	6399
230	5478	6379
231	5501	6354
232	5526	6333
233	5550	6309
234	5573	6284
235	5595	6259
236	5619	6235
237	5640	6209
238	5665	6186
239	5689	6163
240	5714	6141
241	5742	6122
242	5767	6099
243	5790	6075
244	5816	6054
245	5840	6030
246	5863	6006
247	5889	5984
248	5911	5958
249	5935	5935
250	5959	5912
251	5984	5889
252	6009	5867
253	6034	5843
254	6057	5820
255	6085	5800
256	6108	5776
257	6134	5753
258	6160	5732
259	6184	5708
260	6207	5683
261	6230	5659
262	6253	5635
263	6276	5610
264	6298	5585
265	6321	5561
266	6344	5536
267	6367	5512
268	6391	5488
269	6413	5463
270	6439	5441
271	6462	5416
272	6484	5391
273	6508	5368
274	6531	5343
275	6554	5319
276	6577	5295
277	6601	5271
278	6624	5247
279	6648	5223
280	6671	5199
281	6694	5174
282	6717	5150
283	6740	5126
284	6764	5103
285	6788	5079
286	6812	5055
287	6834	5030
288	6857	5006
289	6884	4985
290	6910	4962
291	6933	4939
292	6956	4914
293	6978	4890
294	7004	4867
295	7028	4844
296	7051	4820
297	7075	4796
298	7097	4771
299	7123	4749
300	7147	4725
301	7171	4701
302	7193	4677
303	7215	4652
304	7238	4627
305	7262	4604
306	7285	4580
307	7309	4556
308	7331	4532
309	7355	4508
310	7378	4484
311	7402	4460
312	7426	4436
313	7449	4412
314	7471	4388
315	7494	4363
316	7517	4339
317	7541	4315
318	7564	4292
319	7587	4267
320	7610	4243
321	7633	4219
322	7657	4196
323	7682	4173
324	7708	4150
325	7735	4128
326	7760	4105
327	7786	4083
328	7813	4061
329	7836	4036
330	7863	4015
331	7890	3992
332	7916	3970
333	7945	3949
334	7972	3926
335	7998	3904
336	8025	3881
337	8050	3858
338	8075	3835
339	8101	3812
340	8127	3789
341	8156	3768
342	8184	3746
343	8208	3722
344	8234	3699
345	8259	3676
346	8288	3654
347	8313	3631
348	8338	3607
349	8365	3585
350	8390	3561
351	8415	3538
352	8440	3515
353	8466	3491
354	8492	3468
355	8518	3445
356	8543	3422
357	8567	3398
358	8590	3374
359	8615	3350
360	8642	3327
361	8669	3304
362	8699	3283
363	8727	3260
364	8752	3237
365	8778	3213
366	8804	3190
367	8828	3166
368	8852	3142
369	8876	3118
370	8901	3094
371	8924	3070
372	8953	3048
373	8979	3025
374	9002	3000
375	9025	2976
376	9054	2954
377	9083	2931
378	9112	2909
379	9140	2886
380	9166	2863
381	9193	2839
382	9221	2816
383	9247	2793
384	9270	2769
385	9295	2745
386	9321	2721
387	9343	2697
388	9365	2672
389	9394	2649
390	9430	2629
391	9469	2609
392	9497	2585
393	9527	2563
394	9553	2539
395	9577	2515
396	9602	2491
397	9626	2467
398	9652	2443
399	9677	2419
400	9701	2395
401	9723	2370
402	9748	2346
403	9772	2322
404	9797	2298
405	9821	2274
406	9845	2249
407	9873	2226
408	9898	2202
409	9921	2177
410	9944	2153
411	9967	2129
412	9989	2104
413	10012	2079
414	10035	2055
415	10060	2031
416	10085	2007
417	10108	1983
418	10133	1959
419	10163	1935
420	10190	1912
421	10215	1888
422	10239	1863
423	10264	1839
424	10288	1815
425	10316	1792
426	10343	1768
